,sf,events,var_mix
0,6.005838477046386,13,0.0
1,4.936084127802061,3,0.0
2,4.922448561056161,2,0.0
3,4.9084180965843895,1,0.0
4,4.729111468935105,4,0.0
5,4.617915317637098,2,0.0
6,4.522761744413295,2,0.0
7,3.988165941313642,10,0.0
8,3.832084337382674,6,0.0
9,3.8214487284512453,1,0.0
10,3.7806755208679004,1,0.0
11,3.7129803763109823,1,0.0
12,3.571193889040775,1,0.0
13,3.5636989163962434,1,0.0
14,3.531379071911143,1,0.0
15,3.397779682420804,2,0.0
16,3.3828154119012237,1,0.0
17,3.061906150064537,2,0.0
18,2.7343681699583935,3,0.0
19,2.48783699642058,2,0.0
20,2.4587971284691017,1,0.0
21,2.3672192038290354,3,0.0
22,2.340345323509724,1,0.0
23,2.3377222388852985,1,0.0
24,2.17033020633965,1,0.0
25,2.16164667647011,1,0.0
26,2.0982524679687415,1,0.0
27,2.0963855079620255,1,0.0
28,2.0807978679278674,2,0.0
29,2.078035220815536,1,0.0
30,2.046872158243844,2,0.0
31,2.037387901788273,3,0.0
32,1.9398080239507396,8,0.0
33,1.9355426674760328,3,0.0
34,1.9363557918337941,1,0.0
35,1.9437809388240759,2,0.0
36,1.956439784016082,1,0.0
37,1.9614517122922122,1,0.0
38,2.05451360650966,6,0.0
39,2.0795573202205673,3,0.0
40,2.095648971230375,2,0.0
41,2.08045730036677,4,0.0
42,2.0511714979786078,3,0.0
43,1.6854780080119396,15,0.0
44,1.6315679247232933,2,0.0
45,1.321069972009985,8,0.0
46,1.2735582487939408,1,0.0
47,1.2504373229253392,2,0.0
48,1.1905440719796831,2,0.0
49,1.1307077392734022,2,0.0
50,1.065504989112578,6,0.0
51,0.9850412647870279,4,0.0
52,0.9561063140846786,1,0.0
53,0.9550321304922679,1,0.0
54,0.8882104920235153,3,0.0
55,0.8126155524746966,2,0.0
56,0.7493756825153728,2,0.0
57,0.6727968491920523,2,0.0
58,0.6672409190897672,1,0.0
59,0.5670992079104995,2,0.0
60,0.5717463926367858,7,0.0
61,0.6361824823909489,3,0.0
62,0.6555329871570958,1,0.0
63,0.8038607951550479,7,0.0
64,0.8131744790859603,1,0.0
