,sf,events,var_mix
0,12.331564407522817,2,0.0
1,12.224029365004279,6,0.0
2,12.192079038991654,1,0.0
3,12.17991545035714,1,0.0
4,12.08794741486785,1,0.0
5,12.01949031178151,2,0.0
6,11.700069423167635,2,0.0
7,11.682203845171655,1,0.0
8,11.624736031008,1,0.0
9,11.59564022821995,1,0.0
10,11.46146120722908,1,0.0
11,11.450933440213896,1,0.0
12,11.380499222002316,1,0.0
13,11.351349709736962,1,0.0
14,11.292422771120583,2,0.0
15,11.225642788595565,4,0.0
16,11.036440957593637,7,0.0
17,10.876790227848419,3,0.0
18,10.799735264273234,2,0.0
19,10.663303969995393,2,0.0
20,10.655818483023943,1,0.0
21,10.451039088487274,5,0.0
22,10.367575527818257,2,0.0
23,10.254628969146955,4,0.0
24,10.246653696794727,1,0.0
25,9.886238346591204,8,0.0
26,9.818711288319133,2,0.0
27,9.783850697349504,2,0.0
28,9.514101522615235,5,0.0
29,9.308843668166661,3,0.0
30,9.244570642739546,1,0.0
31,9.070692000856983,4,0.0
32,8.772703444305474,3,0.0
33,8.753079111191454,1,0.0
34,8.670312103650673,2,0.0
35,8.423442135606505,5,0.0
36,8.277849294809382,2,0.0
37,8.144324808619212,3,0.0
38,7.973689531008853,6,0.0
39,7.823214449796712,4,0.0
40,7.674786742882335,6,0.0
41,7.6669687357785925,1,0.0
42,7.632509074076875,1,0.0
43,7.609898849675387,1,0.0
44,7.570168783664252,1,0.0
45,7.387641882429568,3,0.0
46,7.346275618302558,2,0.0
47,7.225961543792809,4,0.0
48,7.133484357788717,2,0.0
49,7.030475427620522,3,0.0
50,6.9198931485626325,8,0.0
51,6.824007404539709,3,0.0
52,6.799233066548776,2,0.0
53,6.608160119378425,21,0.0
54,6.58841882893603,2,0.0
55,6.351690295972336,10,0.0
56,6.286457237498672,1,0.0
57,6.276694365086232,1,0.0
58,6.210795985964615,1,0.0
59,6.132120012389462,2,0.0
60,5.91334342204054,3,0.0
61,5.766362969231777,7,0.0
62,5.497248260953934,10,0.0
63,5.480369881400685,1,0.0
64,5.414623579374015,1,0.0
65,5.310604008757712,4,0.0
66,5.2245107434692635,2,0.0
67,5.166682459718976,3,0.0
68,5.140419905337733,1,0.0
69,5.0761527016820125,5,0.0
70,5.066792102495098,1,0.0
71,4.830131065917063,7,0.0
72,4.810126289366963,2,0.0
73,4.524244036116079,7,0.0
74,4.371386787348668,7,0.0
75,4.343696047426154,3,0.0
76,4.332222012920732,1,0.0
77,4.290095101142628,2,0.0
78,4.2193570873329405,6,0.0
79,4.123007333573749,5,0.0
80,4.03493839207481,5,0.0
81,3.98630548964788,3,0.0
82,3.904035632266135,3,0.0
83,3.8568514743108446,2,0.0
84,3.8533333427383036,1,0.0
85,3.754934505870697,7,0.0
86,3.691322674682677,2,0.0
87,3.583421631475731,8,0.0
88,3.3255433581855645,8,0.0
89,3.2809745741158425,2,0.0
90,3.2304528645774324,2,0.0
91,3.1771939229808264,4,0.0
92,3.1665851870263735,1,0.0
93,3.1526287633863532,3,0.0
94,3.011238155764171,3,0.0
95,2.9900853838052623,1,0.0
96,2.9446958850999594,1,0.0
97,2.934808239457884,1,0.0
98,2.89618373896052,1,0.0
99,2.6761048942575902,6,0.0
100,2.6273655221296317,2,0.0
